id;Format;P;Q;Antican
128;[2, 1, 1], 0, 1;[[-1, -3, 2, 0], [-1, -3, 0, 2], [1, -5, 1, 1]];[[1, 1, 2, 2], [6, 0, 7, 3]];[2, 2]
129;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 2], [2, 0, 0, -3, 1]];[[1, 1, 1, 1, 1], [-3, 3, 2, -2, 0]];[3, 0]
130;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 3], [2, 0, 0, -3, 2]];[[2, 1, 1, 2, 1], [3, -3, -2, 2, 0]];[4, 0]
131;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 2], [2, 0, 0, -2, 1]];[[1, -1, -1, 1, 0], [2, 2, 1, 3, 2]];[0, 6]
132;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 3], [2, 0, 0, -2, 1]];[[1, -1, -1, 1, 0], [3, 3, 2, 4, 2]];[0, 8]
133;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 3], [2, 0, 0, -2, 2]];[[1, -1, -1, 1, 0], [1, 2, 1, 2, 1], [1, 1, 0, 0, 0]];[0, 4, 0]
134;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 5], [2, 0, 0, -2, 2]];[[1, -1, -1, 1, 0], [2, 3, 2, 3, 1], [1, 1, 0, 0, 0]];[0, 6, 0]
135;[2, 2, 1], 0, 1;[[-1, -1, 1, 2, 0], [-1, -1, 0, 0, 2], [2, 0, 0, -5, 1]];[[2, 0, 0, 1, 1], [-1, 5, 4, 0, 2]];[2, 6]
136;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 2], [2, 1, 0, -4, 1]];[[1, 1, 1, 1, 1], [4, -4, -1, 1, 0]];[3, 0]
137;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 3], [2, 1, 0, -4, 2]];[[3, 0, 1, 2, 1], [1, -4, -2, -1, -1]];[4, -4]
138;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 2], [2, 1, 0, -3, 1]];[[0, 2, 1, 1, 1], [3, -1, 0, 2, 1]];[3, 3]
139;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 3], [2, 1, 0, -3, 1]];[[3, -3, -1, 1, 0], [2, 1, 1, 2, 1]];[0, 4]
140;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 3], [2, 1, 0, -3, 2]];[[3, -3, -1, 1, 0], [1, 2, 1, 2, 1]];[0, 4]
141;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 5], [2, 1, 0, -3, 2]];[[3, -3, -1, 1, 0], [2, 3, 2, 3, 1]];[0, 6]
142;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 2], [2, 1, 0, -2, 1]];[[2, -2, -1, 1, 0], [1, 1, 0, 2, 1]];[0, 3]
143;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 3], [2, 1, 0, -2, 1]];[[2, -2, -1, 1, 0], [2, 1, 0, 3, 1]];[0, 4]
144;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 3], [2, 1, 0, -2, 2]];[[2, -2, -1, 1, 0], [1, 2, 0, 3, 1]];[0, 4]
145;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 4], [2, 1, 0, -2, 1]];[[2, -2, -1, 1, 0], [1, 3, 1, 3, 1]];[0, 5]
146;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 5], [2, 1, 0, -2, 1]];[[2, -2, -1, 1, 0], [2, 3, 1, 4, 1]];[0, 6]
147;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 5], [2, 1, 0, -2, 2]];[[2, -2, -1, 1, 0], [1, 4, 1, 4, 1]];[0, 6]
148;[2, 2, 1], 0, 1;[[-1, -1, 1, 1, 0], [-1, -1, 0, 0, 7], [2, 1, 0, -2, 2]];[[2, -2, -1, 1, 0], [3, 4, 1, 6, 1]];[0, 8]
149;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 1], [2, 1, 0, -1, 0, -2]];[[1, -1, -1, 1, 0, 0], [0, 1, 0, 1, 1, 0], [1, 0, 1, 0, 0, 1]];[0, 2, 2]
150;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 1], [2, 1, 0, -1, 0, -1]];[[1, -1, -1, 1, 0, 0], [0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1]];[0, 2, 2]
151;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 2], [2, 1, 0, -1, 0, -3]];[[1, -1, -1, 1, 0, 0], [0, 1, 0, 1, 1, 0], [2, 0, 1, 1, 0, 1]];[0, 2, 3]
152;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 3], [2, 1, 0, -1, 0, -5]];[[1, -1, -1, 1, 0, 0], [0, 1, 0, 1, 1, 0], [3, 0, 2, 1, 0, 1]];[0, 2, 4]
153;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 3], [2, 1, 0, -1, 0, -4]];[[1, -1, -1, 1, 0, 0], [0, 1, 0, 1, 1, 0], [2, 0, 2, 0, -1, 1]];[0, 2, 2]
154;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 5], [2, 1, 0, -1, 0, -8]];[[1, -1, -1, 1, 0, 0], [0, 1, 0, 1, 1, 0], [4, 0, 4, 0, -1, 1]];[0, 2, 4]
155;[2, 2, 1], 0, 1;[[-1, -1, 1, 2, 0], [-1, -1, 0, 0, 2], [2, 1, 0, -7, 1]];[[4, -2, 0, 1, 1], [-1, -3, -2, -1, -2]];[2, -5]
156;[2, 2, 1], 0, 1;[[-1, -1, 1, 2, 0], [-1, -1, 0, 0, 2], [2, 1, 0, -5, 1]];[[2, 0, 0, 1, 1], [1, -5, -2, -1, -2]];[2, -5]
157;[2, 2, 1], 0, 1;[[-1, -1, 1, 2, 0], [-1, -1, 0, 0, 3], [2, 1, 0, -5, 1]];[[1, 2, 1, 1, 1], [6, -3, -1, 2, 1]];[3, 2]
158;[2, 2, 1], 0, 1;[[-1, -1, 1, 2, 0], [-1, -1, 0, 0, 3], [2, 1, 0, -5, 2]];[[0, 3, 1, 1, 1], [5, -2, -1, 2, 1]];[3, 2]
159;[2, 2, 1], 0, 1;[[-1, -1, 1, 2, 0], [-1, -1, 0, 0, 3], [2, 1, 0, -3, 1]];[[2, 1, -1, 2, 1], [1, -4, -1, -1, -1]];[2, -3]
160;[2, 2, 1], 0, 1;[[-1, -1, 1, 2, 0], [-1, -1, 0, 0, 4], [2, 1, 0, -3, 1]];[[3, -3, -2, 1, 0], [1, 3, 0, 2, 1]];[-1, 3]
161;[2, 2, 1], 0, 1;[[-1, -1, 1, 2, 0], [-1, -1, 0, 0, 5], [2, 1, 0, -3, 1]];[[3, -3, -2, 1, 0], [3, 2, -1, 3, 1]];[-1, 3]
162;[2, 2, 1], 0, 1;[[-1, -1, 1, 2, 0], [-1, -1, 0, 0, 5], [2, 1, 0, -3, 2]];[[3, -3, -2, 1, 0], [2, 3, -1, 3, 1]];[-1, 3]
163;[2, 2, 1], 0, 1;[[-1, -1, 1, 2, 0], [-1, -1, 0, 0, 6], [2, 1, 0, -3, 1]];[[3, -3, -2, 1, 0], [2, 4, 0, 3, 1]];[-1, 4]
164;[2, 2, 1], 0, 1;[[-1, -1, 1, 2, 0], [-1, -1, 0, 0, 7], [2, 1, 0, -3, 2]];[[3, -3, -2, 1, 0], [3, 4, -1, 4, 1]];[-1, 4]
165;[2, 2, 1], 0, 1;[[-1, -1, 1, 2, 0], [-1, -1, 0, 0, 9], [2, 1, 0, -3, 2]];[[3, -3, -2, 1, 0], [4, 5, -1, 5, 1]];[-1, 5]
166;[2, 2, 1], 0, 1;[[-1, -1, 1, 3, 0], [-1, -1, 0, 0, 2], [2, 1, 0, -8, 1]];[[-2, -2, -1, -1, -2], [5, -3, -1, 1, 1]];[-4, 1]
167;[2, 2, 1], 0, 1;[[-1, -1, 1, 3, 0], [-1, -1, 0, 0, 3], [2, 1, 0, -8, 1]];[[4, -1, 0, 1, 1], [0, -6, -3, -1, -2]];[2, -6]
168;[2, 2, 1], 0, 1;[[-1, -1, 1, 3, 0], [-1, -1, 0, 0, 3], [2, 1, 0, -8, 2]];[[3, 0, 0, 1, 1], [2, -8, -3, -1, -2]];[2, -6]
169;[2, 2, 1], 0, 1;[[-1, -1, 1, 3, 0], [-1, -1, 0, 0, 2], [2, 1, 0, -5, 1]];[[2, 0, -1, 1, 1], [1, -5, -1, -1, -2]];[1, -4]
170;[2, 2, 1], 0, 1;[[-1, -1, 1, 3, 0], [-1, -1, 0, 0, 3], [2, 1, 0, -5, 1]];[[1, 2, 0, 1, 1], [6, -3, -3, 2, 1]];[2, 0]
171;[2, 2, 1], 0, 1;[[-1, -1, 1, 3, 0], [-1, -1, 0, 0, 4], [2, 1, 0, -5, 1]];[[0, 4, 1, 1, 1], [5, -1, -2, 2, 1]];[3, 1]
172;[2, 2, 1], 0, 1;[[-1, -1, 1, 3, 0], [-1, -1, 0, 0, 5], [2, 1, 0, -5, 2]];[[3, 2, -1, 2, 1], [2, -7, -2, -1, -1]];[2, -4]
173;[2, 2, 1], 0, 1;[[-1, -1, 1, 3, 0], [-1, -1, 0, 0, 7], [2, 1, 0, -5, 2]];[[5, -5, -3, 1, 0], [1, 6, 1, 2, 1]];[-2, 4]
174;[2, 2, 1], 0, 1;[[-1, -1, 1, 3, 0], [-1, -1, 0, 0, 4], [2, 1, 0, -4, 1]];[[3, 1, -2, 2, 1], [1, -5, -1, -1, -1]];[1, -3]
175;[2, 2, 1], 0, 1;[[-1, -1, 1, 3, 0], [-1, -1, 0, 0, 5], [2, 1, 0, -4, 1]];[[2, 3, -1, 2, 1], [4, -4, -3, 1, 0]];[2, -2]
176;[2, 2, 1], 0, 1;[[-1, -1, 1, 3, 0], [-1, -1, 0, 0, 6], [2, 1, 0, -4, 1]];[[4, -4, -3, 1, 0], [1, 5, 0, 2, 1]];[-2, 3]
177;[2, 2, 1], 0, 1;[[-1, -1, 1, 3, 0], [-1, -1, 0, 0, 7], [2, 1, 0, -4, 1]];[[4, -4, -3, 1, 0], [4, 3, -2, 3, 1]];[-2, 2]
178;[2, 2, 1], 0, 1;[[-1, -1, 1, 4, 0], [-1, -1, 0, 0, 2], [2, 1, 0, -7, 1]];[[4, -2, -2, 1, 1], [-1, -3, 0, -1, -2]];[0, -3]
179;[2, 2, 1], 0, 1;[[-1, -1, 1, 4, 0], [-1, -1, 0, 0, 3], [2, 1, 0, -7, 1]];[[3, 0, -1, 1, 1], [1, -7, -2, -1, -2]];[1, -5]
180;[2, 2, 1], 0, 1;[[-1, -1, 1, 4, 0], [-1, -1, 0, 0, 3], [2, 1, 0, -7, 2]];[[2, 1, -1, 1, 1], [5, -8, -3, 0, -1]];[1, -4]
181;[2, 2, 1], 0, 1;[[-1, -1, 1, 4, 0], [-1, -1, 0, 0, 4], [2, 1, 0, -7, 1]];[[2, 2, 0, 1, 1], [7, -7, -4, 1, 0]];[2, -3]
182;[2, 2, 1], 0, 1;[[-1, -1, 1, 4, 0], [-1, -1, 0, 0, 5], [2, 1, 0, -7, 2]];[[0, 5, 1, 1, 1], [7, -2, -3, 2, 1]];[3, 0]
183;[2, 2, 1], 0, 1;[[-1, -1, 1, 5, 0], [-1, -1, 0, 0, 2], [2, 1, 0, -9, 1]];[[3, 1, -1, 1, 2], [-3, 5, 2, 0, 1]];[2, 3]
184;[2, 2, 1], 0, 1;[[-1, -1, 1, 5, 0], [-1, -1, 0, 0, 3], [2, 1, 0, -9, 2]];[[4, -1, -2, 1, 1], [1, -7, -1, -1, -2]];[0, -4]
185;[2, 2, 1], 0, 1;[[-1, -1, 1, 5, 0], [-1, -1, 0, 0, 2], [2, 1, 0, -8, 1]];[[2, 2, -1, 1, 2], [-3, 5, 2, 0, 1]];[2, 3]
186;[2, 2, 1], 0, 1;[[-1, -1, 1, 5, 0], [-1, -1, 0, 0, 3], [2, 1, 0, -8, 1]];[[4, -1, -2, 1, 1], [0, -6, -1, -1, -2]];[0, -4]
187;[2, 2, 1], 0, 1;[[-1, -1, 1, 5, 0], [-1, -1, 0, 0, 4], [2, 1, 0, -8, 1]];[[3, 1, -1, 1, 1], [2, -10, -3, -1, -2]];[1, -6]
188;[2, 2, 1], 0, 1;[[-1, -1, 1, 6, 0], [-1, -1, 0, 0, 2], [2, 1, 0, -11, 1]];[[-3, 5, 2, 0, 1], [2, 4, 0, 1, 3]];[3, 4]
189;[2, 2, 1], 0, 1;[[-1, -1, 1, 6, 0], [-1, -1, 0, 0, 3], [2, 1, 0, -11, 2]];[[6, -3, -3, 1, 1], [-1, -5, 0, -1, -2]];[-1, -3]
190;[2, 2, 1], 0, 1;[[-1, -1, 1, 7, 0], [-1, -1, 0, 0, 3], [2, 1, 0, -13, 2]];[[3, 3, -1, 1, 2], [-5, 8, 3, 0, 1]];[2, 4]
191;[2, 2, 1], 0, 1;[[-1, -1, 1, 7, 0], [-1, -1, 0, 0, 2], [2, 1, 0, -12, 1]];[[-3, 5, 2, 0, 1], [3, 3, -1, 1, 3]];[3, 3]
192;[2, 2, 1], 0, 1;[[-1, -1, 1, 7, 0], [-1, -1, 0, 0, 3], [2, 1, 0, -12, 1]];[[4, 2, -1, 1, 2], [-4, 7, 3, 0, 1]];[2, 4]
193;[2, 2, 1], 0, 1;[[-1, -1, 1, 9, 0], [-1, -1, 0, 0, 2], [2, 1, 0, -16, 1]];[[-3, 5, 2, 0, 1], [4, 4, -1, 1, 4]];[3, 4]
194;[2, 2, 1], 0, 1;[[-1, -2, 1, 1, 0], [-1, -2, 0, 0, 2], [2, 1, 0, -3, 1]];[[2, -1, -1, 1, 0], [2, 2, 3, 3, 3]];[1, 7]
195;[2, 2, 1], 0, 1;[[-1, -2, 1, 1, 0], [-1, -2, 0, 0, 2], [2, 1, 0, -2, 1]];[[0, 1, 1, 1, 1], [4, -1, -2, 4, 1]];[2, 4]
196;[2, 2, 1], 0, 1;[[-1, -2, 1, 1, 0], [-1, -2, 0, 0, 3], [2, 1, 0, -2, 1]];[[1, 1, 1, 2, 1], [3, -3, -4, 1, -1]];[3, -1]
197;[2, 2, 1], 0, 1;[[-1, -2, 1, 1, 0], [-1, -2, 0, 0, 3], [2, 1, 0, -2, 2]];[[-1, 2, 2, 1, 1], [-3, 0, 1, -4, -1]];[2, -4]
198;[2, 2, 1], 0, 1;[[-1, -2, 1, 2, 0], [-1, -2, 0, 0, 2], [2, 1, 0, -3, 1]];[[2, -1, -2, 1, 0], [2, 2, 0, 3, 3]];[0, 4]
199;[2, 2, 1], 0, 1;[[-1, -2, 1, 2, 0], [-1, -2, 0, 0, 3], [2, 1, 0, -3, 1]];[[2, -1, -2, 1, 0], [3, 3, 1, 4, 3]];[0, 5]
200;[2, 2, 1], 0, 1;[[-1, -2, 1, 2, 0], [-1, -2, 0, 0, 3], [2, 1, 0, -3, 2]];[[2, -1, -2, 1, 0], [1, 4, 1, 4, 3]];[0, 4]
201;[2, 2, 1], 0, 1;[[-1, -2, 1, 3, 0], [-1, -2, 0, 0, 2], [2, 1, 0, -5, 1]];[[2, 0, -1, 1, 1], [0, 5, 4, 2, 5]];[1, 6]
202;[2, 2, 1], 0, 1;[[-1, -3, 1, 1, 0], [-1, -3, 0, 0, 2], [2, 1, 0, -2, 1]];[[-1, 1, 2, 0, 1], [3, 1, 1, 5, 3]];[1, 7]
203;[2, 2, 1], 0, 1;[[-1, -3, 1, 1, 0], [-1, -3, 0, 0, 3], [2, 1, 0, -2, 1]];[[0, 1, 2, 1, 1], [6, -1, -3, 6, 1]];[2, 6]
204;[2, 2, 1], 0, 1;[[-1, -3, 1, 1, 0], [-1, -3, 0, 0, 3], [2, 1, 0, -2, 2]];[[3, 0, -1, 4, 1], [0, 2, 3, 3, 2]];[4, 4]
205;[2, 2, 1], 0, 1;[[-1, -3, 1, 1, 0], [-1, -3, 0, 0, 2], [2, 2, 0, -2, 1]];[[-3, 1, 2, -2, 0], [1, 1, 1, 3, 2]];[-2, 4]
206;[2, 2, 1], 0, 1;[[-1, -3, 1, 1, 0], [-1, -3, 0, 0, 3], [2, 2, 0, -2, 1]];[[-3, 1, 2, -2, 0], [0, 2, 3, 3, 2]];[-2, 4]
207;[2, 2, 1], 0, 1;[[-1, -3, 1, 2, 0], [-1, -3, 0, 0, 2], [2, 2, 0, -3, 1]];[[1, 1, 0, 2, 2], [4, -2, -4, 1, -1]];[2, 0]
208;[2, 2, 1], 0, 1;[[-1, -3, 1, 3, 0], [-1, -3, 0, 0, 2], [2, 2, 0, -4, 1]];[[3, -1, -3, 1, 0], [2, 2, -1, 3, 4]];[0, 2]
209;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 1], [3, 1, 0, -2, 0, -2]];[[1, -1, -1, 1, 0, 0], [0, 0, -1, 1, 1, -1], [1, 1, 1, 1, 1, 1]];[0, 0, 4]
210;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 1], [3, 2, 0, -2, 0, -3]];[[0, 1, 0, 1, 1, 0], [1, 0, 1, 0, 0, 1], [2, -2, -1, 1, 0, 0]];[2, 2, 0]
211;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 1], [3, 2, 0, -2, 0, -2]];[[0, 1, 0, 1, 1, 0], [0, 1, 1, 0, 0, 1], [2, -1, 0, 1, 0, 1]];[2, 2, 2]
212;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 2], [3, 2, 0, -2, 0, -5]];[[0, 1, 0, 1, 1, 0], [2, -2, -1, 1, 0, 0], [1, 1, 2, 0, 0, 1]];[2, 0, 3]
213;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 3], [3, 2, 0, -2, 0, -8]];[[0, 1, 0, 1, 1, 0], [2, -2, -1, 1, 0, 0], [2, 1, 3, 0, 0, 1]];[2, 0, 4]
214;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 1], [3, 2, 0, -1, 0, -4]];[[1, -1, -1, 1, 0, 0], [0, 1, -1, 2, 1, 0], [1, 1, 1, 1, 1, 1]];[0, 2, 4]
215;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 1], [3, 2, 0, -1, 0, -3]];[[1, -1, -1, 1, 0, 0], [1, 0, 1, 0, 0, 1], [0, 1, -1, 2, 1, 0]];[0, 2, 2]
216;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 1], [3, 2, 0, -1, 0, -2]];[[1, -1, -1, 1, 0, 0], [1, 0, 0, 1, 0, 1], [0, 1, -1, 2, 1, 0]];[0, 2, 2]
217;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 2], [3, 2, 0, -1, 0, -7]];[[1, -1, -1, 1, 0, 0], [0, 1, -1, 2, 1, 0], [2, 1, 2, 1, 1, 1]];[0, 2, 5]
218;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 2], [3, 2, 0, -1, 0, -5]];[[1, -1, -1, 1, 0, 0], [0, 1, -1, 2, 1, 0], [2, 0, 1, 1, 0, 1]];[0, 2, 3]
219;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 2], [3, 2, 0, -1, 0, -3]];[[1, -1, -1, 1, 0, 0], [0, 1, -1, 2, 1, 0], [1, 0, 1, 0, -1, 1]];[0, 2, 1]
220;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 3], [3, 2, 0, -1, 0, -8]];[[1, -1, -1, 1, 0, 0], [0, 1, -1, 2, 1, 0], [3, 0, 2, 1, 0, 1]];[0, 2, 4]
221;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 3], [3, 2, 0, -1, 0, -5]];[[1, -1, -1, 1, 0, 0], [0, 1, -1, 2, 1, 0], [2, 0, 1, 1, -1, 1]];[0, 2, 2]
222;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 3], [3, 2, 0, -1, 0, -4]];[[1, -1, -1, 1, 0, 0], [0, 1, -1, 2, 1, 0], [1, 1, 1, 1, -1, 1]];[0, 2, 2]
223;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 4], [3, 2, 0, -1, 0, -7]];[[1, -1, -1, 1, 0, 0], [0, 1, -1, 2, 1, 0], [2, 1, 2, 1, -1, 1]];[0, 2, 3]
224;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 5], [3, 2, 0, -1, 0, -9]];[[1, -1, -1, 1, 0, 0], [0, 1, -1, 2, 1, 0], [3, 1, 2, 2, -1, 1]];[0, 2, 4]
225;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 5], [3, 2, 0, -1, 0, -8]];[[1, -1, -1, 1, 0, 0], [0, 1, -1, 2, 1, 0], [2, 2, 2, 2, -1, 1]];[0, 2, 4]
226;[2, 2, 2], 0, 1;[[-1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 1, 7], [3, 2, 0, -1, 0, -12]];[[1, -1, -1, 1, 0, 0], [0, 1, -1, 2, 1, 0], [4, 1, 3, 2, -2, 1]];[0, 2, 4]
227;[2, 2, 2], 0, 1;[[-1, -1, 1, 2, 0, 0], [-1, -1, 0, 0, 1, 1], [3, 2, 0, -3, 0, -3]];[[1, 0, -1, 1, 1, 0], [1, 0, 1, 0, 0, 1], [2, -3, -1, 0, -1, 0]];[1, 2, -2]
228;[2, 2, 2], 0, 1;[[-1, -1, 1, 2, 0, 0], [-1, -1, 0, 0, 1, 1], [3, 2, 0, -3, 0, -2]];[[1, 0, -1, 1, 1, 0], [0, 1, 1, 0, 0, 1], [2, -2, 0, 0, -1, 1]];[1, 2, 0]
229;[2, 2, 2], 0, 1;[[-1, -1, 1, 2, 0, 0], [-1, -1, 0, 0, 1, 2], [3, 2, 0, -3, 0, -5]];[[1, 0, -1, 1, 1, 0], [1, 1, 2, 0, 0, 1], [2, -3, -1, 0, -1, 0]];[1, 3, -2]
230;[2, 2, 2], 0, 1;[[-1, -1, 1, 2, 0, 0], [-1, -1, 0, 0, 1, 2], [3, 2, 0, -3, 0, -3]];[[1, 0, -1, 1, 1, 0], [1, 0, 1, 0, -1, 1], [0, -3, -1, -1, -1, -1]];[1, 1, -4]
231;[2, 2, 2], 0, 1;[[-1, -1, 1, 2, 0, 0], [-1, -1, 0, 0, 1, 3], [3, 2, 0, -3, 0, -5]];[[1, 0, -1, 1, 1, 0], [2, 1, 1, 1, 0, 1], [2, -3, -1, 0, -1, 0]];[1, 3, -2]
232;[2, 2, 2], 0, 1;[[-1, -1, 1, 3, 0, 0], [-1, -1, 0, 0, 1, 1], [3, 2, 0, -5, 0, -3]];[[1, 0, 1, 0, 0, 1], [-2, 3, 1, 0, 1, 0], [1, 1, -1, 1, 2, 0]];[2, 2, 2]
233;[2, 2, 2], 0, 1;[[-1, -1, 1, 3, 0, 0], [-1, -1, 0, 0, 1, 1], [3, 2, 0, -5, 0, -2]];[[0, 1, 1, 0, 0, 1], [-2, 2, 0, 0, 1, -1], [1, 1, -1, 1, 2, 0]];[2, 0, 2]
234;[2, 2, 2], 0, 1;[[-1, -1, 1, 3, 0, 0], [-1, -1, 0, 0, 1, 3], [3, 2, 0, -5, 0, -5]];[[-2, 3, 1, 0, 1, 0], [1, 1, -1, 1, 2, 0], [1, 1, 2, 0, -1, 1]];[2, 2, 2]
235;[2, 2, 2], 0, 1;[[-1, -1, 1, 3, 0, 0], [-1, -1, 0, 0, 1, 1], [3, 2, 0, -4, 0, -3]];[[1, 0, 1, 0, 0, 1], [2, -1, -2, 1, 1, 0], [0, -2, 1, -1, -2, 0]];[2, 0, -2]
236;[2, 2, 2], 0, 1;[[-1, -1, 1, 3, 0, 0], [-1, -1, 0, 0, 1, 1], [3, 2, 0, -4, 0, -2]];[[0, 1, 1, 0, 0, 1], [2, 0, -1, 1, 1, 1], [2, -2, 0, 0, -1, 1]];[2, 2, 0]
237;[2, 2, 2], 0, 1;[[-1, -1, 1, 3, 0, 0], [-1, -1, 0, 0, 1, 2], [3, 2, 0, -4, 0, -3]];[[1, 0, 1, 0, -1, 1], [2, -1, -2, 1, 1, 0], [-1, -2, 0, -1, -1, -1]];[1, 0, -3]
238;[2, 2, 2], 0, 1;[[-1, -1, 1, 3, 0, 0], [-1, -1, 0, 0, 1, 3], [3, 2, 0, -4, 0, -5]];[[2, -1, -2, 1, 1, 0], [0, -2, 1, -1, -2, 0], [1, 1, 2, 0, -1, 1]];[0, -2, 2]
239;[2, 2, 2], 0, 1;[[-1, -1, 1, 3, 0, 0], [-1, -1, 0, 0, 1, 3], [3, 2, 0, -4, 0, -4]];[[2, -1, -2, 1, 1, 0], [0, -2, 1, -1, -2, 0], [2, 1, 0, 1, 0, 1]];[0, -2, 2]
240;[2, 2, 2], 0, 1;[[-1, -1, 1, 5, 0, 0], [-1, -1, 0, 0, 1, 1], [3, 2, 0, -8, 0, -2]];[[0, 1, 1, 0, 0, 1], [-2, 2, 0, 0, 1, -1], [2, 1, -2, 1, 3, 0]];[2, 0, 2]
241;[2, 2, 2], 0, 1;[[-1, -2, 1, 1, 0, 0], [-1, -2, 0, 0, 1, 1], [3, 3, 0, -2, 0, -2]];[[0, 0, -1, 1, 1, -1], [1, -1, -1, 0, -1, 0], [2, 0, 0, 2, 1, 1]];[0, -1, 4]
242;[2, 2, 2], 0, 1;[[-1, -2, 1, 2, 0, 0], [-1, -2, 0, 0, 1, 1], [3, 3, 0, -3, 0, -2]];[[1, 0, -1, 1, 1, 0], [1, -1, -1, 0, -1, 0], [2, 0, 2, 0, -1, 3]];[1, -1, 4]
243;[2, 2, 2], 0, 1;[[-1, -3, 1, 1, 0, 0], [-1, -3, 0, 0, 1, 1], [3, 4, 0, -2, 0, -2]];[[0, 0, -1, 1, 1, -1], [2, 0, 0, 2, 1, 1], [-2, 1, 1, 0, 2, -1]];[0, 4, 0]
244;[2, 2, 2], 0, 1;[[-1, -3, 1, 1, 0, 0], [-1, -3, 0, 0, 1, 1], [3, 5, 0, -2, 0, -2]];[[0, 0, -1, 1, 1, -1], [2, 0, 0, 2, 1, 1], [-1, 1, 1, 1, 2, 0]];[0, 4, 2]
